  GNUCOBOL GREENBAR PRINTING TEST                                      PAGE  1
  ==============================================================================
  NO.   DESCRIPTION                                             STATUS
  ------------------------------------------------------------------------------
  01    THIS IS GNUCOBOL TEST RECORD NUMBER 01                    OK
  02    THIS IS GNUCOBOL TEST RECORD NUMBER 02                    OK
  03    THIS IS GNUCOBOL TEST RECORD NUMBER 03                    OK
  04    THIS IS GNUCOBOL TEST RECORD NUMBER 04                    OK
  05    THIS IS GNUCOBOL TEST RECORD NUMBER 05                    OK
  06    THIS IS GNUCOBOL TEST RECORD NUMBER 06                    OK
  07    THIS IS GNUCOBOL TEST RECORD NUMBER 07                    OK
  08    THIS IS GNUCOBOL TEST RECORD NUMBER 08                    OK
  09    THIS IS GNUCOBOL TEST RECORD NUMBER 09                    OK
  10    THIS IS GNUCOBOL TEST RECORD NUMBER 10                    OK
  11    THIS IS GNUCOBOL TEST RECORD NUMBER 11                    OK
  12    THIS IS GNUCOBOL TEST RECORD NUMBER 12                    OK
  13    THIS IS GNUCOBOL TEST RECORD NUMBER 13                    OK
  14    THIS IS GNUCOBOL TEST RECORD NUMBER 14                    OK
  15    THIS IS GNUCOBOL TEST RECORD NUMBER 15                    OK
  16    THIS IS GNUCOBOL TEST RECORD NUMBER 16                    OK
  17    THIS IS GNUCOBOL TEST RECORD NUMBER 17                    OK
  18    THIS IS GNUCOBOL TEST RECORD NUMBER 18                    OK
  19    THIS IS GNUCOBOL TEST RECORD NUMBER 19                    OK
  20    THIS IS GNUCOBOL TEST RECORD NUMBER 20                    OK
  21    THIS IS GNUCOBOL TEST RECORD NUMBER 21                    OK
  22    THIS IS GNUCOBOL TEST RECORD NUMBER 22                    OK
  23    THIS IS GNUCOBOL TEST RECORD NUMBER 23                    OK
  24    THIS IS GNUCOBOL TEST RECORD NUMBER 24                    OK
  25    THIS IS GNUCOBOL TEST RECORD NUMBER 25                    OK
  26    THIS IS GNUCOBOL TEST RECORD NUMBER 26                    OK
  27    THIS IS GNUCOBOL TEST RECORD NUMBER 27                    OK
  28    THIS IS GNUCOBOL TEST RECORD NUMBER 28                    OK
  29    THIS IS GNUCOBOL TEST RECORD NUMBER 29                    OK
  30    THIS IS GNUCOBOL TEST RECORD NUMBER 30                    OK
  31    THIS IS GNUCOBOL TEST RECORD NUMBER 31                    OK
  32    THIS IS GNUCOBOL TEST RECORD NUMBER 32                    OK
  33    THIS IS GNUCOBOL TEST RECORD NUMBER 33                    OK
  34    THIS IS GNUCOBOL TEST RECORD NUMBER 34                    OK
  35    THIS IS GNUCOBOL TEST RECORD NUMBER 35                    OK
  36    THIS IS GNUCOBOL TEST RECORD NUMBER 36                    OK
  37    THIS IS GNUCOBOL TEST RECORD NUMBER 37                    OK
  38    THIS IS GNUCOBOL TEST RECORD NUMBER 38                    OK
  39    THIS IS GNUCOBOL TEST RECORD NUMBER 39                    OK
  40    THIS IS GNUCOBOL TEST RECORD NUMBER 40                    OK
  41    THIS IS GNUCOBOL TEST RECORD NUMBER 41                    OK
  42    THIS IS GNUCOBOL TEST RECORD NUMBER 42                    OK
  43    THIS IS GNUCOBOL TEST RECORD NUMBER 43                    OK
  44    THIS IS GNUCOBOL TEST RECORD NUMBER 44                    OK
  45    THIS IS GNUCOBOL TEST RECORD NUMBER 45                    OK
  46    THIS IS GNUCOBOL TEST RECORD NUMBER 46                    OK
  47    THIS IS GNUCOBOL TEST RECORD NUMBER 47                    OK
  48    THIS IS GNUCOBOL TEST RECORD NUMBER 48                    OK
  49    THIS IS GNUCOBOL TEST RECORD NUMBER 49                    OK
  50    THIS IS GNUCOBOL TEST RECORD NUMBER 50                    OK
  51    THIS IS GNUCOBOL TEST RECORD NUMBER 51                    OK
  52    THIS IS GNUCOBOL TEST RECORD NUMBER 52                    OK
  53    THIS IS GNUCOBOL TEST RECORD NUMBER 53                    OK
  54    THIS IS GNUCOBOL TEST RECORD NUMBER 54                    OK
  55    THIS IS GNUCOBOL TEST RECORD NUMBER 55                    OK
